PackageID,Address,City,ZIP,Deadline,Weight,Specific_Truck,Delayed_Arrival,Correct_Address,Correct_City,Correct_ZIP,Must_Be_With
1,195 W Oakland Ave,Salt Lake City,84115,10:30,21,,,,,,
2,2530 S 500 E,Salt Lake City,84106,17:00,44,,,,,,
3,233 Canyon Rd,Salt Lake City,84103,17:00,2,2,,,,,
4,380 W 2880 S,Salt Lake City,84115,17:00,4,,,,,,
5,410 S State St,Salt Lake City,84111,17:00,5,,,,,,
6,3060 Lester St,West Valley City,84119,10:30,88,,9:05,,,,
7,1330 2100 S,Salt Lake City,84106,17:00,8,,,,,,
8,300 State St,Salt Lake City,84103,17:00,9,,,,,,
9,300 State St,Salt Lake City,84103,17:00,2,,10:20,410 S State St,Salt Lake City,84111,
10,600 E 900 South,Salt Lake City,84105,17:00,1,,,,,,
11,2600 Taylorsville Blvd,Salt Lake City,84118,17:00,1,,,,,,
12,3575 W Valley Central Station Bus Loop,West Valley City,84119,17:00,1,,,,,,
13,2010 W 500 S,Salt Lake City,84104,10:30,2,,,,,,16;20
14,4300 S 1300 E,Millcreek,84117,10:30,88,,,,,,15;19
15,4580 S 2300 E,Holladay,84117,9:00,4,,,,,,14;20
16,4580 S 2300 E,Holladay,84117,10:30,88,,,,,,13;19
17,3148 S 1100 W,Salt Lake City,84119,17:00,2,,,,,,
18,1488 4800 S,Salt Lake City,84123,17:00,6,2,,,,,
19,177 W Price Ave,Salt Lake City,84115,17:00,37,,,,,,14;16
20,3595 Main St,Salt Lake City,84115,10:30,37,,,,,,13;15
21,3595 Main St,Salt Lake City,84115,17:00,3,,,,,,
22,6351 South 900 East,Murray,84121,17:00,2,,,,,,
23,5100 South 2700 West,Salt Lake City,84118,17:00,5,,,,,,
24,5025 State St,Murray,84107,17:00,7,,,,,,
25,5383 South 900 East #104,Salt Lake City,84117,10:30,7,,9:05,,,,
26,5383 South 900 East #104,Salt Lake City,84117,17:00,25,,,,,,
27,1060 Dalton Ave S,Salt Lake City,84104,17:00,5,,,,,,
28,2835 Main St,Salt Lake City,84115,17:00,7,,9:05,,,,
29,1330 2100 S,Salt Lake City,84106,10:30,2,,,,,,
30,300 State St,Salt Lake City,84103,10:30,1,,,,,,
31,3365 S 900 W,Salt Lake City,84119,10:30,1,,,,,,
32,3365 S 900 W,Salt Lake City,84119,17:00,1,,9:05,,,,
33,2530 S 500 E,Salt Lake City,84106,17:00,1,,,,,,
34,4580 S 2300 E,Holladay,84117,10:30,2,,,,,,
35,1060 Dalton Ave S,Salt Lake City,84104,17:00,88,2,,,,,
36,2300 Parkway Blvd,West Valley City,84119,17:00,88,,,,,,
37,410 S State St,Salt Lake City,84111,10:30,2,,,,,,
38,410 S State St,Salt Lake City,84111,17:00,9,2,,,,,
39,2010 W 500 S,Salt Lake City,84104,17:00,9,,,,,,
40,380 W 2880 S,Salt Lake City,84115,10:30,45,,,,,,